Path: /HepData/7693/d1-x1-y1
Location: F 5,T 2
RE : P P --> P P
SQRT(S) : 23.5 GeV
SQRT(S) : 23.5 GeV
x : ABS(T)*10**3 IN GEV**2
y : D(SIG)/DT IN MB/GEV**2
xdesc	x	xlow	xhigh	y	dy+	dy-	
	0.37	0.37	0.37	1933.8	+7.0	-7.0
	0.48	0.48	0.48	1169.4	+3.2	-3.2
	0.61	0.61	0.61	753.2	+2.2	-2.2
	0.75	0.75	0.75	518.9	+1.5	-1.5
	0.91	0.91	0.91	375.8	+1.6	-1.6
	1.08	1.08	1.08	289.0	+1.4	-1.4
	1.26	1.26	1.26	227.4	+1.2	-1.2
	1.47	1.47	1.47	188.4	+1.1	-1.1
	1.68	1.68	1.68	161.6	+1.0	-1.0
	1.91	1.91	1.91	142.7	+1.0	-1.0
	2.16	2.16	2.16	128.1	+0.9	-0.9
	2.42	2.42	2.42	117.2	+0.8	-0.8
	2.7	2.7	2.7	107.3	+0.8	-0.8
	2.99	2.99	2.99	101.6	+0.8	-0.8
	3.29	3.29	3.29	96.6	+0.8	-0.8
	3.61	3.61	3.61	93.9	+0.8	-0.8
	3.95	3.95	3.95	89.3	+0.7	-0.7
	4.3	4.3	4.3	86.2	+0.7	-0.7
	4.66	4.66	4.66	85.5	+0.7	-0.7
	5.04	5.04	5.04	83.2	+0.7	-0.7
	5.43	5.43	5.43	81.3	+0.7	-0.7
	5.84	5.84	5.84	81.4	+0.7	-0.7
	6.27	6.27	6.27	79.4	+1.0	-1.0
	6.71	6.71	6.71	78.8	+2.3	-2.3
	7.16	7.16	7.16	79.9	+2.3	-2.3
	7.63	7.63	7.63	75.5	+2.3	-2.3
	8.11	8.11	8.11	77.0	+2.3	-2.3
	8.61	8.61	8.61	71.5	+2.2	-2.2
	9.12	9.12	9.12	75.3	+2.2	-2.2
	9.65	9.65	9.65	73.3	+2.2	-2.2
	10.2	10.2	10.2	73.0	+2.2	-2.2

